User_ID;Gender;Age;Marital_Status;Website_Activity;Browsed_Electronics_12Mo;Bought_Electronics_12Mo;Bought_Digital_Media_18Mo;Bought_Digital_Books;Payment_Method;eReader_Adoption
1628667;F;50;S;Seldom;Yes;No;No;No;Website Account;Early Majority
1782046;F;44;S;Seldom;Yes;No;Yes;No;Credit Card;Late Majority
1700016;M;63;M;Seldom;Yes;Yes;Yes;Yes;Website Account;Early Majority
1083355;F;37;M;Seldom;Yes;No;Yes;Yes;Website Account;Early Adopter
1137590;M;33;M;Seldom;No;No;Yes;No;Monthly Billing;Late Majority
1144791;M;45;M;Seldom;Yes;No;No;Yes;Website Account;Early Adopter
1910830;M;45;M;Seldom;Yes;No;No;Yes;Website Account;Early Adopter
1520529;M;59;S;Seldom;Yes;No;No;No;Monthly Billing;Late Majority
1197941;M;17;S;Seldom;Yes;No;Yes;Yes;Website Account;Early Adopter
1794889;M;17;S;Seldom;Yes;No;Yes;Yes;Website Account;Early Adopter
1586862;F;56;M;Frequent;Yes;Yes;Yes;No;Website Account;Early Adopter
1853132;M;53;S;Regular;Yes;No;Yes;Yes;Monthly Billing;Early Adopter
1825181;M;46;S;Frequent;Yes;No;No;No;Website Account;Early Adopter
1087010;F;53;S;Seldom;Yes;No;Yes;No;Website Account;Late Majority
1175363;M;43;M;Frequent;Yes;Yes;No;Yes;Website Account;Early Majority
1986669;F;50;S;Seldom;Yes;Yes;Yes;No;Bank Transfer;Late Majority
1535372;F;46;S;Seldom;Yes;No;Yes;Yes;Monthly Billing;Late Majority
1206136;F;23;S;Seldom;Yes;Yes;Yes;Yes;Website Account;Early Majority
1095870;M;54;M;Seldom;Yes;No;Yes;Yes;Website Account;Early Adopter
1780302;M;17;M;Seldom;Yes;Yes;Yes;Yes;Bank Transfer;Innovator
1352557;M;41;S;Seldom;Yes;Yes;Yes;No;Bank Transfer;Early Majority
1415409;M;65;S;Regular;Yes;Yes;Yes;No;Website Account;Late Majority
1406415;M;22;S;Seldom;Yes;No;No;No;Website Account;Early Majority
1281360;M;22;S;Seldom;Yes;No;No;No;Website Account;Early Majority
1457959;F;62;M;Regular;No;Yes;Yes;No;Bank Transfer;Early Majority
1301914;F;22;M;Seldom;Yes;No;Yes;No;Website Account;Early Majority
1255134;F;40;M;Regular;Yes;Yes;Yes;Yes;Website Account;Innovator
1326545;F;41;M;Seldom;Yes;Yes;Yes;Yes;Credit Card;Early Majority
1833224;F;59;M;Seldom;Yes;Yes;Yes;Yes;Bank Transfer;Early Majority
1208819;F;59;M;Seldom;Yes;Yes;Yes;Yes;Bank Transfer;Early Majority
1740401;M;55;M;Regular;Yes;Yes;Yes;Yes;Website Account;Early Majority
1461877;F;23;M;Seldom;Yes;Yes;Yes;No;Monthly Billing;Early Majority
1113265;F;23;M;Seldom;Yes;Yes;Yes;No;Monthly Billing;Early Majority
1471009;F;50;M;Seldom;Yes;No;Yes;Yes;Website Account;Early Majority
1382592;F;50;M;Seldom;Yes;No;Yes;Yes;Website Account;Early Majority
1656199;M;66;M;Seldom;Yes;No;Yes;Yes;Bank Transfer;Early Majority
1508495;M;66;M;Seldom;Yes;No;Yes;Yes;Bank Transfer;Early Majority
1788207;M;34;M;Regular;Yes;Yes;Yes;Yes;Monthly Billing;Innovator
1217767;F;52;S;Seldom;Yes;Yes;Yes;No;Credit Card;Late Majority
1718630;M;27;M;Regular;No;No;Yes;No;Monthly Billing;Early Adopter
1350549;F;65;M;Seldom;Yes;No;No;Yes;Website Account;Early Majority
1234188;F;65;M;Seldom;Yes;No;No;Yes;Website Account;Early Majority
1879496;F;36;S;Frequent;Yes;No;Yes;No;Website Account;Late Majority
1567379;F;50;M;Frequent;Yes;No;Yes;No;Website Account;Early Adopter
1354393;F;50;M;Frequent;Yes;No;Yes;No;Website Account;Early Adopter
1634538;F;38;S;Seldom;Yes;Yes;Yes;Yes;Bank Transfer;Early Majority
1686348;F;38;S;Seldom;Yes;Yes;Yes;Yes;Bank Transfer;Early Majority
1063838;F;64;M;Seldom;Yes;No;Yes;No;Monthly Billing;Late Majority
1965851;M;51;S;Regular;Yes;No;Yes;Yes;Website Account;Early Adopter
1078032;F;33;S;Regular;Yes;Yes;Yes;Yes;Bank Transfer;Innovator
1065967;M;41;M;Seldom;Yes;Yes;Yes;No;Website Account;Late Majority
1268576;F;33;S;Regular;Yes;Yes;Yes;Yes;Bank Transfer;Innovator
1848330;M;35;S;Seldom;Yes;No;Yes;No;Bank Transfer;Early Majority
1992375;M;35;S;Seldom;Yes;No;Yes;No;Bank Transfer;Early Majority
1309193;M;48;M;Frequent;Yes;Yes;Yes;No;Bank Transfer;Innovator
1854290;M;18;S;Seldom;No;Yes;No;Yes;Website Account;Early Adopter
1038721;M;64;M;Seldom;Yes;Yes;Yes;No;Bank Transfer;Late Majority
1671241;M;21;S;Regular;Yes;Yes;Yes;No;Bank Transfer;Early Adopter
1245282;M;32;M;Regular;Yes;Yes;Yes;Yes;Monthly Billing;Innovator
1744062;M;41;S;Seldom;No;No;No;No;Monthly Billing;Late Majority
1178674;F;48;M;Seldom;Yes;No;Yes;Yes;Credit Card;Early Majority
1782778;F;48;M;Seldom;Yes;No;Yes;Yes;Credit Card;Early Majority
1174984;M;61;M;Seldom;Yes;Yes;Yes;No;Monthly Billing;Late Majority
1370551;M;43;M;Seldom;Yes;No;Yes;Yes;Bank Transfer;Early Adopter
1456695;M;60;M;Seldom;Yes;No;Yes;No;Website Account;Late Majority
1702576;M;65;S;Regular;Yes;Yes;Yes;Yes;Credit Card;Early Majority
1819130;F;55;M;Seldom;Yes;No;Yes;Yes;Monthly Billing;Early Adopter
1684192;F;55;M;Seldom;Yes;No;Yes;Yes;Monthly Billing;Early Adopter
1203014;F;35;M;Seldom;Yes;No;Yes;Yes;Monthly Billing;Early Majority
1877423;F;26;S;Regular;Yes;No;Yes;Yes;Bank Transfer;Innovator
1821767;M;64;M;Seldom;Yes;No;Yes;No;Credit Card;Late Majority
1502712;M;46;S;Seldom;No;Yes;Yes;No;Bank Transfer;Late Majority
1637180;M;36;S;Regular;Yes;No;Yes;Yes;Bank Transfer;Innovator
1232503;M;36;S;Regular;Yes;No;Yes;Yes;Bank Transfer;Innovator
1273598;F;50;S;Seldom;Yes;Yes;No;Yes;Bank Transfer;Early Adopter
1302730;F;62;M;Frequent;Yes;No;No;No;Website Account;Early Majority
1709035;M;19;M;Regular;Yes;Yes;Yes;Yes;Website Account;Early Adopter
1897115;M;51;S;Frequent;Yes;No;Yes;Yes;Website Account;Innovator
1034997;M;59;M;Seldom;Yes;No;Yes;No;Credit Card;Late Majority
1317511;F;56;M;Regular;Yes;Yes;Yes;No;Credit Card;Early Majority
1487579;F;56;M;Regular;Yes;Yes;Yes;No;Credit Card;Early Majority
1002500;F;46;S;Frequent;Yes;No;No;No;Website Account;Early Adopter
1488912;M;32;S;Seldom;Yes;Yes;Yes;Yes;Bank Transfer;Late Majority
1378768;M;46;S;Frequent;Yes;No;No;No;Website Account;Early Adopter
1843871;F;57;S;Regular;Yes;No;Yes;Yes;Bank Transfer;Innovator
1674718;F;23;M;Seldom;Yes;No;Yes;Yes;Credit Card;Early Adopter
1405290;M;61;M;Seldom;Yes;Yes;Yes;No;Monthly Billing;Innovator
1102859;M;29;M;Seldom;No;No;Yes;No;Bank Transfer;Early Majority
1077893;M;29;M;Seldom;No;No;Yes;No;Bank Transfer;Early Majority
1086400;F;32;M;Regular;Yes;No;Yes;No;Website Account;Early Adopter
1509150;F;34;S;Regular;Yes;Yes;Yes;Yes;Monthly Billing;Innovator
1581379;F;45;M;Seldom;Yes;No;Yes;Yes;Bank Transfer;Early Majority
1309145;F;50;M;Regular;Yes;No;Yes;Yes;Credit Card;Innovator
1158760;F;50;M;Regular;Yes;No;Yes;Yes;Credit Card;Innovator
1133995;M;46;M;Regular;Yes;No;Yes;No;Credit Card;Early Adopter
1206800;M;23;M;Seldom;Yes;Yes;Yes;No;Credit Card;Early Majority
1435763;F;53;S;Regular;Yes;Yes;No;No;Bank Transfer;Early Adopter
1579778;F;53;S;Regular;Yes;Yes;No;No;Bank Transfer;Early Adopter
1298242;M;57;M;Frequent;Yes;No;Yes;No;Website Account;Early Adopter
1228440;F;60;M;Seldom;Yes;Yes;Yes;Yes;Monthly Billing;Late Majority
1939431;F;34;M;Seldom;Yes;Yes;Yes;No;Website Account;Late Majority
1102087;F;54;M;Frequent;Yes;Yes;Yes;No;Bank Transfer;Early Adopter
1788023;M;44;M;Regular;Yes;Yes;Yes;Yes;Website Account;Early Adopter
1437419;F;49;S;Seldom;Yes;Yes;Yes;Yes;Bank Transfer;Early Adopter
1745787;F;59;M;Regular;Yes;Yes;Yes;Yes;Bank Transfer;Innovator
1181327;F;59;M;Regular;Yes;Yes;Yes;Yes;Bank Transfer;Innovator
1015435;F;53;S;Seldom;Yes;No;Yes;No;Website Account;Early Adopter
1249388;M;17;M;Seldom;Yes;Yes;Yes;Yes;Bank Transfer;Early Adopter
1671235;F;64;M;Frequent;No;Yes;No;Yes;Website Account;Late Majority
1235673;M;52;M;Regular;Yes;Yes;Yes;Yes;Credit Card;Innovator
1300621;M;38;S;Regular;Yes;Yes;No;No;Credit Card;Early Adopter
1361917;M;38;S;Regular;Yes;Yes;No;No;Credit Card;Early Adopter
1682604;M;41;M;Seldom;Yes;Yes;Yes;No;Credit Card;Early Majority
1982817;M;41;M;Seldom;Yes;Yes;Yes;No;Credit Card;Early Majority
1735291;F;21;M;Seldom;Yes;Yes;Yes;Yes;Website Account;Innovator
1505298;M;38;M;Seldom;Yes;No;Yes;No;Credit Card;Early Majority
